,Unnamed: 0,Entity,category,parameter,mode,powertrain,Year,unit,value
0,0,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
1,1,Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0004600000102072
2,2,Australia,Historical,EV sales share,Cars,EV,2011,percent,0.0065000001341104
3,3,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
4,4,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
5,5,Australia,Historical,EV sales share,Cars,EV,2012,percent,0.0299999993294477
6,6,Australia,Historical,EV stock share,Cars,EV,2012,percent,0.0027999999001622
7,7,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
8,8,Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
9,9,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
10,10,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
11,11,Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
12,12,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
13,13,Australia,Historical,EV stock share,Cars,EV,2013,percent,0.0054000001400709
14,14,Australia,Historical,EV sales share,Cars,EV,2013,percent,0.0340000018477439
15,15,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
16,16,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
17,17,Australia,Historical,EV sales share,Cars,EV,2014,percent,0.1599999964237213
18,18,Australia,Historical,EV stock share,Cars,EV,2014,percent,0.0170000009238719
19,19,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
20,20,Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
21,21,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
22,22,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
23,23,Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
24,24,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
25,25,Australia,Historical,EV stock share,Cars,EV,2015,percent,0.0320000015199184
26,26,Australia,Historical,EV sales share,Cars,EV,2015,percent,0.2000000029802322
27,27,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
28,28,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
29,29,Australia,Historical,EV sales share,Cars,EV,2016,percent,0.1500000059604644
30,30,Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0430000014603138
31,31,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
32,32,Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
33,33,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
34,34,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
35,35,Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
36,36,Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0
37,37,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
38,38,Australia,Historical,EV stock share,Cars,EV,2017,percent,0.0610000006854534
39,39,Australia,Historical,EV sales share,Cars,EV,2017,percent,0.2599999904632568
40,40,Australia,Historical,EV sales share,Cars,EV,2018,percent,0.4199999868869781
41,41,Australia,Historical,EV stock share,Cars,EV,2018,percent,0.0890000015497207
42,42,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
43,43,Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0
44,44,Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
45,45,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
46,46,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
