,region,powertrain,year,value
0,Australia,BEV,2011,49.0
1,Australia,BEV,2012,170.0
2,Australia,BEV,2013,190.0
3,Australia,BEV,2014,370.0
4,Australia,BEV,2015,760.0
5,Australia,BEV,2016,670.0
6,Australia,BEV,2017,1200.0
7,Australia,BEV,2018,1800.0
8,Australia,BEV,2019,6300.0
9,Australia,BEV,2020,5200.0
10,Australia,BEV,2021,17000.0
11,Australia,BEV,2022,33000.0
12,Australia,PHEV,2012,80.0
13,Australia,PHEV,2013,100.0
14,Australia,PHEV,2014,950.0
15,Australia,PHEV,2015,1000.0
16,Australia,PHEV,2016,700.0
17,Australia,PHEV,2017,1100.0
18,Australia,PHEV,2018,1800.0
19,Australia,PHEV,2019,2900.0
20,Australia,PHEV,2020,1700.0
21,Australia,PHEV,2021,3400.0
22,Australia,PHEV,2022,5900.0
23,Austria,BEV,2013,650.0
24,Austria,BEV,2014,1700.0
25,Austria,BEV,2015,1700.0
26,Austria,BEV,2016,3800.0
27,Austria,BEV,2017,5400.0
28,Austria,BEV,2018,6800.0
29,Austria,BEV,2019,9300.0
30,Austria,BEV,2020,16000.0
31,Austria,BEV,2021,33000.0
32,Austria,BEV,2022,34000.0
33,Austria,PHEV,2015,1100.0
34,Austria,PHEV,2016,1200.0
35,Austria,PHEV,2017,1700.0
36,Austria,PHEV,2018,2300.0
37,Austria,PHEV,2019,2200.0
38,Austria,PHEV,2020,7600.0
39,Austria,PHEV,2021,15000.0
40,Austria,PHEV,2022,13000.0
41,Belgium,BEV,2010,48.0
42,Belgium,BEV,2011,280.0
43,Belgium,BEV,2012,570.0
44,Belgium,BEV,2013,500.0
45,Belgium,BEV,2014,1300.0
46,Belgium,BEV,2015,1400.0
47,Belgium,BEV,2016,2100.0
48,Belgium,BEV,2017,2700.0
49,Belgium,BEV,2018,3600.0
50,Belgium,BEV,2019,8800.0
51,Belgium,BEV,2020,15000.0
52,Belgium,BEV,2021,23000.0
53,Belgium,BEV,2022,38000.0
54,Belgium,PHEV,2010,8.0
55,Belgium,PHEV,2011,16.0
56,Belgium,PHEV,2012,340.0
57,Belgium,PHEV,2013,60.0
58,Belgium,PHEV,2014,650.0
59,Belgium,PHEV,2015,2500.0
60,Belgium,PHEV,2016,7100.0
61,Belgium,PHEV,2017,12000.0
62,Belgium,PHEV,2018,9600.0
63,Belgium,PHEV,2019,8900.0
64,Belgium,PHEV,2020,32000.0
65,Belgium,PHEV,2021,48000.0
66,Belgium,PHEV,2022,59000.0
67,Brazil,BEV,2012,74.0
68,Brazil,BEV,2013,130.0
69,Brazil,BEV,2014,61.0
70,Brazil,BEV,2015,59.0
71,Brazil,BEV,2016,130.0
72,Brazil,BEV,2017,25.0
73,Brazil,BEV,2018,66.0
74,Brazil,BEV,2019,540.0
75,Brazil,BEV,2020,680.0
76,Brazil,BEV,2021,2900.0
77,Brazil,BEV,2022,8500.0
78,Brazil,PHEV,2012,18.0
